hour,trip_distance,fare_amount,passenger_count,trip_count,hour_of_day,day_of_week,regime,trip_distance_norm,fare_amount_norm,passenger_count_norm,trip_count_norm
2023-01-22 22:00:00,5.209956284153005,23.94515846994536,3665.0,2745,22,6,weekend_active,0.027759464798575686,0.14807235892208104,0.30668787143190196,0.2886901630717636
2023-01-22 23:00:00,6.370883947939262,28.178747288503253,2410.0,1844,23,6,weekend_quiet,0.03394506960193854,0.18562081850684742,0.20164057922474124,0.19389794844798117
2023-01-23 00:00:00,6.703094582185491,28.967759412304865,1418.0,1089,0,0,night,0.03571514000255226,0.1926187087395005,0.11860718171916078,0.11446607048909577
2023-01-23 01:00:00,7.927271214642263,33.349916805324455,771.0,601,1,0,night,0.04223774523808684,0.23148484969409852,0.06445132669283966,0.06312467122560428
2023-01-23 02:00:00,3.8106410256410257,19.796965811965812,324.0,234,2,0,night,0.020303693474941993,0.11128129322264302,0.027036076002321052,0.024513413992609662
2023-01-23 03:00:00,4.538711340206185,21.714948453608248,237.0,194,3,0,night,0.02418296638353324,0.12829222574124458,0.01975391311624696,0.020305102577569376
2023-01-23 04:00:00,5.724650205761317,26.21065843621399,293.0,243,4,0,night,0.030501834795495838,0.16816548500693868,0.024441282330271662,0.025460284060993727
2023-01-23 05:00:00,5.170842787682334,23.078184764991896,688.0,617,5,0,night,0.027551061950411803,0.14038301342428441,0.05750397589348162,0.0648079957916204
2023-01-23 06:00:00,4.458175787728027,21.315196241017137,2187.0,1809,6,0,night,0.023753860319658704,0.12474675157223654,0.18297480539032143,0.1902156759598209
2023-01-23 07:00:00,7.836835513498469,17.564266629557473,4367.0,3593,7,0,morning_rush,0.04175588962826693,0.09147908318086637,0.3654473926505688,0.37790636507061764
2023-01-23 08:00:00,4.9288337158355935,17.114352180262884,5757.0,4793,8,0,morning_rush,0.026261599631639633,0.08748871112539244,0.48179459278439624,0.5041557075218261
2023-01-23 09:00:00,2.9394337248322144,17.34829907718121,5964.0,4768,9,0,morning_rush,0.01566176423791078,0.08956362817104722,0.4991211182719518,0.501525512887426
2023-01-23 10:00:00,2.9051003276003278,17.3346294021294,6104.0,4884,10,0,midday,0.015478830508740531,0.08944238936793772,0.5108395413070136,0.5137296159910428
2023-01-23 11:00:00,2.770246274834437,16.662032284768213,6062.0,4832,11,0,midday,0.014760306949898695,0.0834770047355516,0.5073240143964951,0.5082588111514905
2023-01-23 12:00:00,2.8238054675118858,16.743761885895402,6362.0,5048,12,0,midday,0.015045678734743042,0.08420187924659321,0.5324349209001988,0.5309836927927081
2023-01-23 13:00:00,3.255257638763334,17.731276441873078,7051.0,5531,13,0,midday,0.017344523620745907,0.09296032320127251,0.5901063028370385,0.5817990531293195
2023-01-23 14:00:00,3.1789886112527626,18.047054224035357,7590.0,5883,14,0,midday,0.016938150271541212,0.0957610130649911,0.6352222315220262,0.618832193581674
2023-01-23 15:00:00,3.190542495479204,18.29808153871445,7921.0,6083,15,0,midday,0.0169997111801128,0.09798741940341087,0.6629279316977794,0.6398737506568755
2023-01-23 16:00:00,3.4307335434173667,18.52452906162465,7300.0,5712,16,0,evening_rush,0.01827948678215634,0.09999582315409929,0.6109483552351126,0.6008416622823768
2023-01-23 17:00:00,43.15036536690205,18.31810868897759,8299.0,6514,17,0,evening_rush,0.22991191924039936,0.09816504379597285,0.6945676738924461,0.6852183061539345
2023-01-23 18:00:00,2.888536362250343,15.914717182497332,8196.0,6559,18,0,evening_rush,0.015390575101597036,0.07684893287564384,0.6859462626595079,0.6899526564958548
2023-01-23 19:00:00,3.360345075485262,17.33238856937455,7016.0,5564,19,0,evening_rush,0.01790444597735531,0.08942251501978117,0.587176697078273,0.5852709100467277
2023-01-23 20:00:00,3.5410638297872343,17.935602167804095,6325.0,4982,20,0,night,0.018867343864569272,0.09477252476147557,0.5293379090980753,0.5240399789578916
2023-01-23 21:00:00,3.7064681226560774,18.349799249944848,5897.0,4533,21,0,night,0.01974864389762174,0.0984461130728194,0.493513015819458,0.47680168332406436
2023-01-23 22:00:00,4.354345794392524,20.59665200659703,4784.0,3638,22,0,night,0.023200637818771287,0.11837385370654804,0.40035155269071704,0.38264071541253797
2023-01-23 23:00:00,4.940881648298994,23.23183517010062,2677.0,2087,23,0,night,0.026325792906759935,0.14174576646282186,0.22398928601303758,0.2194634402943509
2023-01-24 00:00:00,6.305410590943976,27.207060629316963,1679.0,1303,0,1,night,0.03359621727964872,0.17700275501150275,0.14045367037738304,0.1369805365595613
2023-01-24 01:00:00,4.8322664015904575,23.907912524850897,644.0,503,1,1,night,0.025747073824842648,0.14774201794566277,0.05382104293960507,0.052814308258755584
2023-01-24 02:00:00,3.2748771929824563,20.312736842105263,362.0,285,2,1,night,0.017449059684967034,0.11585575912147855,0.03021679082612353,0.029879011046786027
2023-01-24 03:00:00,3.900594594594595,17.08627027027027,241.0,185,3,1,night,0.02078298020878045,0.08723964762215408,0.020088725202963013,0.01935823250918531
2023-01-24 04:00:00,5.7107723577235765,26.173292682926828,308.0,246,4,1,night,0.030427891442985296,0.1678340814301418,0.02569682765545685,0.025775907417121748
2023-01-24 05:00:00,5.501750433275563,24.9184575389948,683.0,577,5,1,night,0.02931418982297478,0.15670472317009096,0.057085460785086556,0.06059968437658011
2023-01-24 06:00:00,5.912968397291197,19.856004514672684,2109.0,1772,6,1,night,0.03150522367701214,0.11180491808030718,0.17644596969935844,0.18632298790090865
2023-01-24 07:00:00,2.9110744016649326,16.320026014568157,4586.0,3844,7,1,morning_rush,0.01551066131300369,0.08044368970078687,0.3837783543982725,0.4043135191999954
2023-01-24 08:00:00,3.4454603300855045,16.104603300855043,5997.0,5029,8,1,morning_rush,0.018357953412932834,0.07853306696292428,0.5018833179873592,0.5289847448705639
2023-01-24 09:00:00,2.779470533208606,17.426834424695976,6475.0,5345,9,1,morning_rush,0.014809455246288352,0.09026017227311196,0.5418933623499272,0.5622304050493822
2023-01-24 10:00:00,2.9238372317803982,18.122545911463366,6333.0,5173,10,1,midday,0.015578663675019299,0.09643056239910475,0.5300075332715074,0.5441346659647089
2023-01-24 11:00:00,2.83663232207594,17.65939515359664,6503.0,5241,11,1,midday,0.01511402222906954,0.0923227951456622,0.5442370469569395,0.5512887953702774
2023-01-24 12:00:00,2.951560966745412,18.095907686716338,7016.0,5503,12,1,midday,0.01572638008622743,0.09619430319959552,0.587176697078273,0.5788532351387913
2023-01-24 13:00:00,2.8220557614257986,16.96199400035292,7231.0,5667,13,1,midday,0.015036356026095309,0.08613741906422658,0.6051728467392608,0.5961073119404564
2023-01-24 14:00:00,3.334271491782554,19.03049778761062,8128.0,6328,14,1,midday,0.017765521831068404,0.10448335065690277,0.680254457185335,0.6656496580739971
2023-01-24 15:00:00,3.073039739027284,18.041806049822064,8831.0,6744,15,1,midday,0.01637363805136428,0.0957144660653208,0.7390976814256808,0.7094160967904162
2023-01-24 16:00:00,3.0312879114560873,17.78788127066264,8800.0,6957,16,1,evening_rush,0.016151177761003655,0.09346236159404007,0.7365028877536314,0.7318253550755056
2023-01-24 17:00:00,2.8317768376520362,17.07750925436277,9584.0,7564,17,1,evening_rush,0.015088151445977681,0.08716194459859114,0.8021260567499773,0.7956864807987419
2023-01-24 18:00:00,2.612971342383107,16.031222976370035,9995.0,7956,18,1,evening_rush,0.013922321425075653,0.0778822436859531,0.8365279986600515,0.8369279326661367
2023-01-24 19:00:00,2.9700449210259383,16.271746123750184,8757.0,6901,19,1,evening_rush,0.015824865495740262,0.08001548667804904,0.7329036578214339,0.7259337190944493
